"Di"	"SName"	"monoculture"	"sd"	"mean"	"CV"	"TS"	"Id"	"monoculture_relative"	"site"	"persists"
4.10423678579605	"TPla"	2.63163	0.603745793641662	2.65428	0.227461230029108	4.39635361099573	13	0.0518317078532276	"Bern"	TRUE
4.08238233777311	"AGlu"	2.415744	0.0986837688781696	2.41057	0.0409379395239174	24.4272186541231	14	0.0475796891113825	"Bern"	TRUE
4.08073778979974	"QPub"	1.213282	0.0930481458268685	1.20369272727273	0.0773022414430407	12.9362355001936	15	0.0238963981135569	"Bern"	TRUE
4.02463010421773	"SAri"	0.042092	0.00184291863382763	0.0420190909090909	0.0438590791460676	22.8002963005588	16	0.000829030010661855	"Bern"	FALSE
3.96304498896519	"PTre"	2.889683	0.164236139777733	2.90456090909091	0.0565442230058575	17.6852726386639	17	0.0569142337807513	"Bern"	TRUE
3.96011541644128	"APla"	3.223955	0.708611305975542	3.24540181818182	0.218343165399633	4.57994642593782	18	0.0634979437428334	"Bern"	TRUE
3.91611390270515	"TCor"	3.17094	1.09117538021913	3.21715818181818	0.33917368017088	2.94834198071085	19	0.0624537779627507	"Bern"	TRUE
3.90985874801175	"SAlb"	2.54795	0.130159273458608	2.55621454545455	0.0509187594171455	19.639127336305	20	0.0501835744480156	"Bern"	TRUE
3.86628219362894	"QPet"	2.002074	0.146479889323974	2.00559818181818	0.0730355116253556	13.6919695329803	21	0.0394321825897041	"Bern"	TRUE
3.86108071747658	"CAve"	1.791387	0.0588538756737242	1.79796272727273	0.0327336461323632	30.5496062356254	22	0.0352825616200111	"Bern"	TRUE
3.8505448569429	"SAuc"	0.634719	3.16499909940702	0.723904545454545	4.37212215240298	0.228721880391742	23	0.0125012139916678	"Bern"	TRUE
3.84390347447605	"FSyl"	4.042017	1.38596150010217	4.09226636363636	0.338678223005653	2.95265515191778	24	0.0796102203888007	"Bern"	TRUE
